X,CH1,
Second,Volt,
-1.1342794e+00,0.00000e+00,
-1.1341329e+00,0.00000e+00,
-1.1339864e+00,-8.00000e-02,
-1.1338400e+00,-1.60000e-01,
-1.1336935e+00,8.00000e-02,
-1.1335469e+00,-1.60000e-01,
-1.1334004e+00,0.00000e+00,
-1.1332539e+00,-1.60000e-01,
-1.1331075e+00,-8.00000e-02,
-1.1329610e+00,1.60000e-01,
-1.1328145e+00,8.00000e-02,
-1.1326680e+00,-8.00000e-02,
-1.1325215e+00,-1.60000e-01,
-1.1323751e+00,-1.60000e-01,
-1.1322286e+00,0.00000e+00,
-1.1320821e+00,1.60000e-01,
-1.1319356e+00,1.60000e-01,
-1.1317891e+00,-1.60000e-01,
-1.1316427e+00,-1.60000e-01,
-1.1314962e+00,0.00000e+00,
-1.1313497e+00,-1.60000e-01,
-1.1312032e+00,-1.60000e-01,
-1.1310567e+00,-2.40000e-01,
-1.1309103e+00,-8.00000e-02,
-1.1307638e+00,-8.00000e-02,
-1.1306173e+00,-8.00000e-02,
-1.1304708e+00,-2.40000e-01,
-1.1303242e+00,-1.60000e-01,
-1.1301779e+00,8.00000e-02,
-1.1300313e+00,-1.60000e-01,
-1.1298848e+00,-2.40000e-01,
-1.1297383e+00,-1.60000e-01,
-1.1295918e+00,0.00000e+00,
-1.1294454e+00,-2.40000e-01,
-1.1292989e+00,-8.00000e-02,
-1.1291524e+00,0.00000e+00,
-1.1290059e+00,-8.00000e-02,
-1.1288594e+00,-1.60000e-01,
-1.1287130e+00,-1.60000e-01,
-1.1285665e+00,-8.00000e-02,
-1.1284200e+00,-1.60000e-01,
-1.1282735e+00,-8.00000e-02,
-1.1281270e+00,-8.00000e-02,
-1.1279806e+00,0.00000e+00,
-1.1278341e+00,0.00000e+00,
-1.1276876e+00,0.00000e+00,
-1.1275411e+00,-1.60000e-01,
-1.1273946e+00,-1.60000e-01,
-1.1272482e+00,-1.60000e-01,
-1.1271017e+00,0.00000e+00,
-1.1269552e+00,-1.60000e-01,
-1.1268086e+00,0.00000e+00,
-1.1266621e+00,8.00000e-02,
-1.1265157e+00,-8.00000e-02,
-1.1263692e+00,-1.60000e-01,
-1.1262227e+00,-2.40000e-01,
-1.1260762e+00,-1.60000e-01,
-1.1259297e+00,8.00000e-02,
-1.1257833e+00,-2.40000e-01,
-1.1256368e+00,-8.00000e-02,
-1.1254903e+00,0.00000e+00,
-1.1253438e+00,-8.00000e-02,
-1.1251973e+00,-1.60000e-01,
-1.1250509e+00,0.00000e+00,
-1.1249044e+00,-1.60000e-01,
-1.1247579e+00,0.00000e+00,
-1.1246114e+00,-2.40000e-01,
-1.1244649e+00,-8.00000e-02,
-1.1243185e+00,-8.00000e-02,
-1.1241720e+00,-8.00000e-02,
-1.1240255e+00,0.00000e+00,
-1.1238790e+00,0.00000e+00,
-1.1237324e+00,0.00000e+00,
-1.1235861e+00,-8.00000e-02,
-1.1234396e+00,0.00000e+00,
-1.1232930e+00,0.00000e+00,
-1.1231465e+00,-8.00000e-02,
-1.1230000e+00,-8.00000e-02,
-1.1228536e+00,-1.60000e-01,
-1.1227071e+00,-8.00000e-02,
-1.1225606e+00,0.00000e+00,
-1.1224141e+00,-1.60000e-01,
-1.1222676e+00,0.00000e+00,
-1.1221212e+00,-1.60000e-01,
-1.1219747e+00,0.00000e+00,
-1.1218282e+00,8.00000e-02,
-1.1216817e+00,8.00000e-02,
-1.1215352e+00,8.00000e-02,
-1.1213888e+00,0.00000e+00,
-1.1212423e+00,8.00000e-02,
-1.1210958e+00,-8.00000e-02,
-1.1209493e+00,-8.00000e-02,
-1.1208028e+00,0.00000e+00,
