X,CH1,
Second,Volt,
-2.7551466e-01,-2.20000e-01,
-2.7547804e-01,-1.80000e-01,
-2.7544141e-01,-1.40000e-01,
-2.7540478e-01,-2.20000e-01,
-2.7536818e-01,-2.60000e-01,
-2.7533156e-01,-2.60000e-01,
-2.7529493e-01,-8.00000e-02,
-2.7525830e-01,-8.00000e-02,
-2.7522168e-01,-8.00000e-02,
-2.7518508e-01,-8.00000e-02,
-2.7514845e-01,-1.80000e-01,
-2.7511182e-01,-1.60000e-01,
-2.7507520e-01,-3.00000e-01,
-2.7503857e-01,-1.40000e-01,
-2.7500197e-01,-2.60000e-01,
-2.7496535e-01,-4.00000e-02,
-2.7492872e-01,-1.20000e-01,
-2.7489209e-01,-2.20000e-01,
-2.7485546e-01,-2.20000e-01,
-2.7481887e-01,-3.60000e-01,
-2.7478224e-01,-1.60000e-01,
-2.7474561e-01,-2.40000e-01,
-2.7470899e-01,-8.00000e-02,
-2.7467236e-01,-1.80000e-01,
-2.7463576e-01,-1.60000e-01,
-2.7459913e-01,-2.80000e-01,
-2.7456251e-01,-1.00000e-01,
-2.7452588e-01,-3.00000e-01,
-2.7448925e-01,-1.60000e-01,
-2.7445266e-01,-1.60000e-01,
-2.7441603e-01,-1.00000e-01,
-2.7437940e-01,-2.60000e-01,
-2.7434278e-01,-8.00000e-02,
-2.7430615e-01,-3.00000e-01,
-2.7426955e-01,-2.00000e-01,
-2.7423292e-01,-1.00000e-01,
-2.7419630e-01,-2.40000e-01,
-2.7415967e-01,-2.60000e-01,
-2.7412304e-01,-1.40000e-01,
-2.7408645e-01,-2.60000e-01,
-2.7404982e-01,-2.00000e-01,
-2.7401319e-01,-1.00000e-01,
-2.7397656e-01,-2.20000e-01,
-2.7393994e-01,-1.00000e-01,
-2.7390334e-01,-2.60000e-01,
-2.7386671e-01,-4.00000e-01,
-2.7383009e-01,-8.00000e-02,
-2.7379346e-01,-1.40000e-01,
-2.7375683e-01,-1.20000e-01,
-2.7372023e-01,-2.00000e-01,
-2.7368361e-01,-4.00000e-02,
-2.7364698e-01,-2.60000e-01,
-2.7361035e-01,-1.60000e-01,
-2.7357373e-01,-2.60000e-01,
-2.7353713e-01,-3.40000e-01,
-2.7350050e-01,-2.40000e-01,
-2.7346388e-01,-3.00000e-01,
-2.7342725e-01,-1.40000e-01,
-2.7339062e-01,-8.00000e-02,
-2.7335402e-01,0.00000e+00,
-2.7331740e-01,-1.00000e-01,
-2.7328077e-01,-3.40000e-01,
-2.7324414e-01,-2.00000e-01,
-2.7320752e-01,-1.20000e-01,
-2.7317092e-01,-1.60000e-01,
-2.7313429e-01,-1.00000e-01,
-2.7309766e-01,-1.00000e-01,
-2.7306104e-01,-2.20000e-01,
-2.7302441e-01,-1.40000e-01,
-2.7298781e-01,-3.00000e-01,
-2.7295119e-01,2.00000e-02,
-2.7291456e-01,-2.00000e-01,
-2.7287793e-01,-3.40000e-01,
-2.7284130e-01,-2.60000e-01,
-2.7280471e-01,-1.20000e-01,
-2.7276808e-01,-2.60000e-01,
-2.7273145e-01,-2.80000e-01,
-2.7269483e-01,-2.60000e-01,
-2.7265820e-01,-2.00000e-01,
-2.7262160e-01,-3.00000e-01,
-2.7258497e-01,-2.20000e-01,
-2.7254835e-01,-2.60000e-01,
-2.7251172e-01,-2.40000e-01,
-2.7247509e-01,-3.00000e-01,
-2.7243850e-01,-8.00000e-02,
-2.7240187e-01,-1.00000e-01,
-2.7236524e-01,-2.60000e-01,
-2.7232862e-01,-1.80000e-01,
